DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br,DWS_NAME,SAMPLE_DATE,Year
20.0,16.0,38.0,36.0,20.0,7.76,3.4,1.4666666666666668,0.0005,0.014,2.0199999999999996,INNISFIL LAKE SIMCOE DRINKING WATER SYSTEM,20170814,2017
14.0,22.0,37.0,45.6,4.75,7.93,4.0,1.32,0.004,0.368,2.0199999999999996,KENORA AREA  DRINKING WATER SYSTEM,20170403,2017
3.5,3.2,7.4,14.9,13.0,8.28,1.7,1.6666666666666667,0.002,0.0025,2.2,KINGSTON DRINKING WATER SYSTEM - KING STREET,20170613,2017
2.9,2.2,6.1,15.7,18.0,8.03,1.4,1.3133333333333335,0.0005,0.008,0.48,KINGSTON DRINKING WATER SYSTEM - KING STREET,20170929,2017
2.6,2.2,5.6,10.3,10.9,8.11,1.0,0.8733333333333334,0.0005,0.01,2.0199999999999996,LAKE HURON PRIMARY WATER SUPPLY SYSTEM,20170411,2017
3.4,2.1,6.9,12.7,21.7,7.77,0.7,0.9,0.0005,0.0025,2.0199999999999996,LAKE HURON PRIMARY WATER SUPPLY SYSTEM,20170711,2017
5.9,5.1,12.0,15.1,16.5,8.0,1.3,1.1533333333333333,0.0005,0.0025,2.45,LAMBTON AREA WATER SUPPLY SYSTEM,20170612,2017
7.2,4.4,12.0,12.8,7.0,7.89,1.1,1.18,0.0005,0.021,2.58,LAMBTON AREA WATER SUPPLY SYSTEM,20171211,2017
13.0,22.0,37.0,35.6,13.1,7.66,2.6,1.5133333333333334,0.0005,0.013,2.01,LINDSAY  DRINKING WATER SYSTEM,20170502,2017
9.4,6.8,17.0,21.4,8.8,8.18,1.5,1.35,0.0005,0.026,0.86,MANITOUWADGE  DRINKING WATER SYSTEM,20171003,2017
2.9,1.9,4.8,9.1,9.9,8.31,0.7,1.32,0.0005,0.025,2.25,MARATHON  DRINKING WATER SYSTEM,20170830,2017
0.15,0.375,0.5,0.05,10.8,8.05,0.3,1.1466666666666667,0.0005,0.0025,6.08,MIDLAND DRINKING WATER SYSTEM,20170712,2017
6.2,3.5,12.0,19.9,11.5,8.08,1.6,1.1133333333333333,0.0005,0.018,1.46,NANTICOKE DRINKING WATER SYSTEM,20171114,2017
10.0,15.0,25.0,42.2,4.5,7.74,3.1,1.3933333333333333,0.0005,0.0025,2.0199999999999996,NIPIGON  DRINKING WATER SYSTEM,20170509,2017
28.0,25.0,53.0,53.0,18.7,7.83,3.1,1.5999999999999999,0.0005,0.0025,2.09,NIPIGON  DRINKING WATER SYSTEM,20170817,2017
20.0,22.0,46.0,64.0,17.4,7.74,2.2,0.6266666666666666,0.0005,0.01,1.29,OHSWEKEN DRINKING WATER SYSTEM,20170516,2017
22.0,24.0,48.0,68.4,15.3,7.89,2.4,0.7533333333333333,0.0005,0.017,2.0199999999999996,OHSWEKEN DRINKING WATER SYSTEM,20171101,2017
0.15,0.375,0.5,0.2,7.5,8.08,0.4,1.1933333333333334,0.002,0.0025,0.78,ORANGEVILLE DRINKING WATER SYSTEM,20170524,2017
