Dataset,Seed,Lambda,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (mg/L),Test R2 TCAA (ug/L),Test R2 BCAA(mg/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,viol_haa5,viol_haa9,viol_nonneg,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
ontario,42,0.1,0.8869711820346718,0.5253698691916611,0.6878272375925243,0.2670143137992996,0.3588674631600237,,,,,,134985,0.01886792480945587,,0.09433962404727936,0.7076359769890144,0.6600214102714944,0.7350278234759501,0.6486237396336382
ontario,42,0.5,0.8849141310228447,0.532118022830925,0.6876028045780614,0.2674033786788968,0.3580136645140012,,,,,,134985,0.0,,0.07547169923782349,0.7064158641603768,0.6689150158633965,0.728129028844184,0.646951309444288
ontario,42,1.0,0.8828281474884474,0.5392174703015474,0.6883494803792888,0.2668289728910646,0.3570633627891957,,,,,,134985,0.0,,0.056603774428367615,0.7075451280880443,0.6719042942307143,0.724887314560499,0.6490611846378969
ontario,123,0.0,0.8361731742196985,0.26109811542526873,0.7238985398872648,0.21565673796122892,0.3292031735342025,,,,,,134985,0.056603774428367615,,0.03773584961891174,0.7291751233952745,0.6805399935870268,0.8103298545759965,0.6755491879907618
ontario,123,0.01,0.8365197501245711,0.26953329637869794,0.7194692297331219,0.2187491316245273,0.3320655972096953,,,,,,134985,0.056603774428367615,,0.03773584961891174,0.7279580754059294,0.674502238817764,0.8060732323692845,0.6693433723395099
ontario,123,0.05,0.8362539402012696,0.26787305845821413,0.7193707547787518,0.21902573994200839,0.33253373316367363,,,,,,134985,0.0,,0.056603774428367615,0.7262757281802072,0.6758494890684343,0.8062394134539261,0.6691183884124392
ontario,123,0.1,0.838697667306715,0.2953937149200404,0.7140241631668336,0.22410312356692802,0.33585760456721436,,,,,,134985,0.0,,0.056603774428367615,0.7156651257021653,0.6737088556657236,0.8001260996087081,0.6665965716907374
ontario,123,0.5,0.4948847315543108,0.22841990343230956,0.537231397792479,0.3576559462342357,0.46373785662198047,,,,,,134985,0.0,,0.0,0.5876876341987538,0.4702474999532269,0.646453228998689,0.44453722801924656
ontario,123,1.0,0.49344695471436806,0.22610692658082795,0.5351076326302354,0.35955007622208346,0.4656192764281434,,,,,,134985,0.0,,0.0,0.5874265756676225,0.4716045570972568,0.6367511646179027,0.4446482331381598
ontario,456,0.0,0.6605914119826475,0.6798084452363553,0.5834657016979463,0.8162888984998405,0.5974087111103066,,,,,,134985,0.056603774428367615,,0.07547169923782349,0.60315894651452,0.5891404942937508,0.5998813065184043,0.54168205946511
ontario,456,0.01,0.660672028138969,0.679709709765953,0.5838520471562254,0.8154889297561991,0.5971749040452218,,,,,,134985,0.01886792480945587,,0.07547169923782349,0.6024093394504172,0.5879676615917404,0.6033212148499123,0.5417099727328312
ontario,456,0.05,0.661035556893399,0.6795641393689916,0.5850017413953668,0.8131654007711581,0.596267961186355,,,,,,134985,0.0,,0.056603774428367615,0.6010936074888635,0.5839237570300766,0.6127641802918309,0.542225420770696
ontario,456,0.1,0.6610359630065104,0.6788265096869379,0.5857004887160726,0.8118041697598312,0.5953723449819373,,,,,,134985,0.01886792480945587,,0.056603774428367615,0.5977310298187759,0.5806932133268778,0.621586650991903,0.542791060726734
ontario,456,0.5,0.7340967794017994,0.6745604852066898,0.6066170579559693,0.7705717902622703,0.5796259570383154,,,,,,134985,0.0,,0.07547169923782349,0.6203318445392028,0.6019774871999715,0.6399911484292464,0.5641677516554564
ontario,456,1.0,0.7333205658833727,0.66988780789796,0.606004215510739,0.7716214990230071,0.57949018936078,,,,,,134985,0.0,,0.01886792480945587,0.6192184574417733,0.5972938683983615,0.6452461955845816,0.5622583406182395
