Dataset,Seed,Fraction,N_train,Model,Test R2
ontario,7777,0.6,73,Random Forest,0.6453593590065715
ontario,7777,0.6,73,Support Vector Regression,0.591689062139486
ontario,7777,0.6,73,XGBoost,0.5605572741921223
ontario,7777,0.6,73,Explainable Model,0.49544770513366904
ontario,7777,0.75,92,Random Forest,0.654597006788419
ontario,7777,0.75,92,Support Vector Regression,0.6656277417801149
ontario,7777,0.75,92,XGBoost,0.5944825769303439
ontario,7777,0.75,92,Explainable Model,0.6804522997559763
ontario,7777,0.9,110,Random Forest,0.6591263240397311
ontario,7777,0.9,110,Support Vector Regression,0.562600569579794
ontario,7777,0.9,110,XGBoost,0.6664578994915231
ontario,7777,0.9,110,Explainable Model,0.6328702211458869
ontario,7777,1.0,122,Random Forest,0.6646924050172918
ontario,7777,1.0,122,Support Vector Regression,0.553631775940456
ontario,7777,1.0,122,XGBoost,0.6553545463662491
ontario,7777,1.0,122,Explainable Model,0.6334438227193013
ontario,9999,0.3,37,Random Forest,0.3107304681404975
ontario,9999,0.3,37,Support Vector Regression,0.43498813961761884
ontario,9999,0.3,37,XGBoost,0.2949867533014152
ontario,9999,0.3,37,Explainable Model,0.39562351279476715
ontario,9999,0.45,55,Random Forest,0.30514771375374206
ontario,9999,0.45,55,Support Vector Regression,0.4740498175322341
ontario,9999,0.45,55,XGBoost,0.26167018701557004
ontario,9999,0.45,55,Explainable Model,0.4079493374423575
ontario,9999,0.6,73,Random Forest,0.42583970758064116
ontario,9999,0.6,73,Support Vector Regression,0.42178591251228525
ontario,9999,0.6,73,XGBoost,0.30409034328971235
ontario,9999,0.6,73,Explainable Model,0.5074686114396083
ontario,9999,0.75,92,Random Forest,0.518752752312278
ontario,9999,0.75,92,Support Vector Regression,0.4539248046125983
ontario,9999,0.75,92,XGBoost,0.49187541264284224
ontario,9999,0.75,92,Explainable Model,0.504004210083323
ontario,9999,0.9,110,Random Forest,0.4270520868597816
ontario,9999,0.9,110,Support Vector Regression,0.4995681091350638
ontario,9999,0.9,110,XGBoost,0.3426371293532906
ontario,9999,0.9,110,Explainable Model,0.48302674626276976
ontario,9999,1.0,122,Random Forest,0.4700947358190004
ontario,9999,1.0,122,Support Vector Regression,0.43810556832149383
ontario,9999,1.0,122,XGBoost,0.3307884959482204
ontario,9999,1.0,122,Explainable Model,0.46944850120599363
original,42,0.3,14,Random Forest,-0.4162332942477436
original,42,0.3,14,Support Vector Regression,-0.17677694323891935
original,42,0.3,14,XGBoost,-0.8695986276802014
