Dataset,Experiment,Arm,Seed,Train R2,Val R2,Test R2,Test MSE,Test MAE,Test R2 DCAA (mg/L),Test R2 TCAA (ug/L),Test R2 BCAA(mg/L),Test R2 HAA5 (ug/L),Test R2 HAA9 (ug/L),Params,Test R2 DCAA,Test R2 TCAA,Test R2 HAA5,Test R2 TTHM
original,feature,remove_pH,7777,0.4178152298546333,0.14814187425205666,0.2766156985294699,1.0149761676384954,0.7357774781049073,0.08838427538742277,0.3621972853014396,0.13657915787228636,0.37702444595988316,0.41889332812631763,163882.0,,,,
original,feature,remove_UVA254,7777,0.4053930483023582,0.14048481134215654,0.2603365098972687,1.064144405944356,0.7526821637802203,0.21905122506960228,0.2315560166958951,0.15153980628602937,0.3126144394287447,0.3869210620060721,163914.0,,,,
original,feature,remove_Cl2,7777,0.341281265140175,0.15298456176338912,0.2566396648668022,1.024171771882182,0.7631351044280794,0.12166056723885699,0.3484369375717288,0.015522793022402226,0.3385082791295313,0.4590697473714923,150593.0,,,,
original,feature,remove_NO2-N,7777,0.37569512996047677,0.20161227644001692,0.3618539935233381,0.8666403276586918,0.6796705920484432,0.31250616219951766,0.37485610691608773,0.06662116028203524,0.48185065439171826,0.5734358838273318,163914.0,,,,
original,feature,remove_DOC,7777,0.2705004688635232,0.002175583369041512,0.1240665820179766,1.282634157583847,0.8312947484653408,0.002088600631971027,0.12186955436530134,0.11898093598630566,0.15934353674003054,0.21805028236627466,163898.0,,,,
original,feature,remove_NH4-N,7777,0.38772122862672365,0.20332963662138637,0.34609381642394166,0.8870494481153152,0.7231245303440346,0.30525637287123397,0.3606475821638535,0.03683473954359229,0.4641261676604108,0.5636042198806179,163914.0,,,,
original,feature,remove_Br,7777,0.4219709289692002,0.18389025332634723,0.3150274723030358,0.9357731708359788,0.7248108314780112,0.12784768803736601,0.4541465469313569,0.09379654518677283,0.41134084918780256,0.4880057321718807,163881.0,,,,
original,feature,baseline_all_features,9999,0.8986184231044068,0.17442871103555785,0.44292206466165496,1.4044667900022552,0.6637608490330216,0.6077625017941215,0.4710251829569314,0.007656032451039185,0.5713047176524024,0.5568618884537802,177466.0,,,,
original,feature,remove_Temp,9999,0.917819551983157,0.22235288854044238,0.43365932280930314,1.3739340348102487,0.6637160342675663,0.6051113222501552,0.42293396108858017,0.05178753961901161,0.5291193842103277,0.5593444068784404,163914.0,,,,
original,feature,remove_pH,9999,0.8390279002842336,0.17298573933415543,0.36829900007219973,1.5603254362784642,0.7225337775954092,0.5628698362474235,0.3645997264369315,-0.0885700704491239,0.49964673281584493,0.5029487753099224,163882.0,,,,
original,feature,remove_UVA254,9999,0.3666741963668361,-0.15334992828693966,0.21227770278752933,1.8123150981204073,0.8085962838388406,0.2788593897090591,0.29546112220355425,-0.2153233968802335,0.3918509238422707,0.310540475062996,163914.0,,,,
original,feature,remove_Cl2,9999,0.8052636126409987,0.17128587827731132,0.35016099909350207,1.4960680687872665,0.771045749529048,0.4120030679147221,0.38721730745891203,-0.0038244694508966504,0.478492693793548,0.4769163957512247,150593.0,,,,
original,feature,remove_NO2-N,9999,0.4027802873998427,-0.12309999755265617,0.33920632030586423,1.6878799564015754,0.7378791777104711,0.448424759232119,0.5027098329315758,-0.2056802202383774,0.5321359226061355,0.4184413069978681,163914.0,,,,
